Freq,reS11,imS11,reS21,imS21,re12,im12,re22,im22
16014320000,0.126672887344059,-0.249445560907497,0.572938947346925,0.440846488777987,0.576063079833665,0.431782869409136,0.281482622127182,-0.229024059292343
16101300000,0.0282522080853079,0.156487209714528,0.539471618359853,-0.512608212138028,0.529074155255529,-0.519575861608542,0.261203685836499,-0.0925001828232594
16188280000,0.268051752572286,-0.167405320381034,-0.354716679497091,-0.620480013254768,-0.365719542322492,-0.61108581048265,0.302338251582295,-0.212526964258523
16275260000,-0.12987123746746,0.0686723162615182,-0.699504146061999,0.244890892349779,-0.690986472443801,0.258192031255599,0.240585988367366,-0.159069250568327
16362240000,0.366133348475932,0.0535999794544214,0.0865158109759337,0.684213809356115,0.0947751221232416,0.680414970973104,0.341423037939412,-0.239866053663458
16449220000,0.00470876448558572,-0.17848198272202,0.73177414524216,0.0931501566277946,0.727790911677486,0.0875710644894295,0.142062202805388,-0.273863321254407
16536200000,0.24082025351879,0.145337617185204,0.180630240568374,-0.690778219490771,0.175670662102205,-0.688721999060217,0.305534279628664,-0.155245860377344
16623180000,0.180458114367881,-0.284651040380349,-0.599383825957313,-0.361549476598605,-0.598865289105003,-0.357112507192764,0.212641092441194,-0.344369518329098
16710160000,-0.0382259140602644,0.180256616527182,-0.467677172804467,0.559581170212622,-0.461653464628727,0.559822833855299,0.225020007762087,-0.21899671901437
16797140000,0.379043858786004,-0.144901033998091,0.396294023820905,0.547281047666112,0.402823147908402,0.537762160987495,0.229248878573886,-0.374631201160777
16884120000,-0.117391256752216,-0.0652526743382385,0.675420910149273,-0.289217260016976,0.665525665691888,-0.298992077896742,0.0979114494270006,-0.284375616700714
16971100000,0.363076473534167,0.0268618659812247,-0.170748959877454,-0.660742300829803,-0.180448896071093,-0.65113995185356,0.254720831220499,-0.323057381046482
17058080000,0.00592154307137079,-0.296820458812362,-0.698556200636901,-0.0256750691904286,-0.693832202518045,-0.0200296432711086,0.0741039725875033,-0.404730562959729
17145060000,0.13184036340305,0.207509022815708,-0.117951795180296,0.697160531873295,-0.110330418362838,0.693046841206015,0.180145011147037,-0.312924065891521
17232040000,0.282307297994087,-0.284248012175244,0.603508532310132,0.292218949024081,0.60415316155755,0.280069654223778,0.0521413823018774,-0.459178139133732
17319020000,-0.114105310567774,0.103315255150047,0.423821306144266,-0.587185417857912,0.409761406985651,-0.589058652384185,0.062644973344693,-0.309278653147871
17406000000,0.413801869167631,-0.104660697832677,-0.443801583160078,-0.486589765666318,-0.447546239494773,-0.471569305099522,0.0646445736743296,-0.459677786029935
17492980000,-0.12088912613083,-0.178906750865582,-0.631337897002355,0.322734874322766,-0.616105215790385,0.336214571369685,-0.0642579569727575,-0.359057431595606
17579960000,0.336139374844757,0.147106005616493,0.22680596551892,0.628562840678782,0.240171795852021,0.617676269883952,0.0367037387740116,-0.428981396801096
17666940000,0.218212422859544,-0.348540174630692,0.660061267960958,-0.00503151617168486,0.654121241334172,-0.0236435908993427,-0.207762301805048,-0.42343759872947
17753920000,0.0436339856644952,0.0855893442247575,0.0934003996953106,-0.725982982166758,0.0711043639112916,-0.723354351477973,-0.0372347664927439,-0.238226936059081
17840900000,0.319635743079719,-0.283303669839904,-0.624482585476538,-0.22614080825964,-0.623344010593413,-0.205800055994358,-0.123148494691276,-0.429218345044951
17927880000,-0.138603766693799,-0.0613480804367337,-0.392773964800378,0.608317004670879,-0.376635783171214,0.609625779643309,-0.149941002218462,-0.243742303744958
18014860000,0.395536349575945,-0.0849847088549286,0.503411142511747,0.433167074506481,0.50399595626318,0.425479434642466,-0.102305288960087,-0.414358012837711
18101840000,-0.046151553255908,-0.358530768637315,0.580072042448981,-0.340693092924523,0.569495072903273,-0.347586694640636,-0.294793772734918,-0.296463428580107
18188820000,0.134719403529724,0.115477382956601,-0.271113810072433,-0.662651397495377,-0.292620928996959,-0.648162456573076,-0.138652805581762,-0.258326600510635
18275800000,0.192341689001511,-0.342214789806168,-0.667331239900433,0.0855694900871066,-0.655372246583895,0.121041061900133,-0.298396282737421,-0.274689862619248
18362780000,-0.0781807684592474,0.0196166182505976,-0.0571469187174007,0.73236884983061,-0.00666495320758296,0.72758564764254,-0.171847694579009,-0.130280851375173
18449760000,0.279424822212539,-0.228709013037752,0.665842469064171,0.1674327595949,0.671206148983805,0.117482965505337,-0.211531413987854,-0.286775838171452
18536740000,-0.172376448081636,-0.148523191568776,0.343653388108595,-0.622678869616239,0.298852024289024,-0.640230049729171,-0.260064568504072,-0.1374167496991
18623720000,0.281343240789908,0.0105963260307194,-0.557374150153501,-0.417913317657772,-0.581271824637286,-0.375542050757281,-0.203289750627475,-0.251833092141551
18710700000,-8.88907291078232E-4,-0.363357890952065,-0.541229537893902,0.404001602594414,-0.510147443572195,0.434884584156649,-0.349334028597919,-0.122133276568994
18797680000,0.00518482813552832,0.0993074458552151,0.325018031043583,0.649521579320771,0.361137127816853,0.622013147555882,-0.185817629711277,-0.108783538853925
18884660000,0.191051334762853,-0.275454277582045,0.666799377050249,-0.178749752628742,0.649734869214314,-0.219447076135996,-0.2906740147629,-0.109800442305271
18971640000,-0.109926968523178,-0.0265324038904018,-0.0318759632906584,-0.727717935666184,-0.079488260041793,-0.718807827838146,-0.175984176028036,-0.0347711345305418
19058620000,0.268524471588428,-0.170668068925345,-0.684548546783376,-0.0745290712219458,-0.6831530126764,-0.0288469522475396,-0.246801779873618,-0.162160947222166
19145600000,-0.138701880813454,-0.284341244122948,-0.266142337236865,0.632524653058075,-0.227027247563225,0.64342414759288,-0.296192288047527,0.0381961107193335
19232580000,0.0812600648873255,0.0474788034108473,0.615544167226443,0.382418898147607,0.627530542697303,0.349139610121244,-0.146624586385215,-0.0504709242660075
19319560000,0.0366244738669617,-0.300110331684195,0.483285351862783,-0.500777806723068,0.456519968093578,-0.517053350416202,-0.24997864855251,0.0319067189136124
19406540000,-0.0611306844319951,0.0146028682467049,-0.41257730892632,-0.599327823937423,-0.433285387962484,-0.577442800695737,-0.100408198117015,-0.00692785112716505
19493520000,0.119449367465725,-0.234653781602962,-0.635516142699333,0.293336311714835,-0.617338632393379,0.313255408396582,-0.20845243328346,-0.0452903704289623
19580500000,-0.172311093074827,-0.104956925836726,0.137181421365589,0.694482134984696,0.151549030354375,0.684687388427634,-0.153079109273483,0.0584941992813387
