Freq,res11,ims11,res21,im21,res12,im12,res22,im22
4359000000,0.069703172754474,-0.0196567491703353,0.511958271690227,0.714766582612218,0.513579504176324,0.720571490586862,0.0662186375482191,-0.0766074294440573
4445980000,0.00161932580096341,-0.0228655755707665,0.808104630316389,-0.353931861429872,0.814577835925235,-0.35236812597832,0.0284470023020546,-0.037175462610607
4532960000,0.0629040144421604,0.00883757642130224,-0.179563514718145,-0.86234878973603,-0.176044582582598,-0.868471869768237,0.0754847862218668,-0.0572973640300406
4619940000,0.0124687923377655,-0.0500444722278557,-0.882248963947252,-0.00408763679120043,-0.887737749443854,-0.0100749651989568,0.0213359423808995,-0.0595512334189165
4706920000,0.0502594145506729,0.0294027473282796,-0.184368298789568,0.862120323817893,-0.192450378298815,0.866347914601737,0.0786624024092939,-0.0332187806525855
4793900000,0.0432383541664466,-0.0688332258874357,0.801202463504987,0.364800916187072,0.806419503188691,0.367702591468021,0.0394547697325592,-0.0856968167154327
4880880000,0.013200211508046,0.0241246006306594,0.522468342879305,-0.710952306675749,0.525656161322018,-0.7145754355018,0.0529431024847915,-0.0237967051235217
4967860000,0.0742530809083095,-0.0484544630578276,-0.582863541169932,-0.657750649743924,-0.587923425159992,-0.659681633138802,0.066899454390369,-0.0857564104707268
5054840000,-0.00614030351129316,-0.0164810562010403,-0.76386803191406,0.438024061802336,-0.773305045288102,0.434459288306044,0.023042245361849,-0.0374525381816675
5141820000,0.0720472504224957,-0.0105235021150466,0.268514216456414,0.835306079027619,0.265804162187596,0.842920259836099,0.0785510524581177,-0.0610518246272279
5228800000,0.00365242286085907,-0.0608903885372468,0.873183320424237,-0.0836635866053258,0.879692987677686,-0.0836878895666346,0.0169001864640799,-0.0716563616872901
5315780000,0.0446647917435368,0.0211222521756438,0.0954998388204044,-0.870572453393359,0.100097345035926,-0.877736647955883,0.069997218637137,-0.0452601617137203
5402760000,0.044228754865358,-0.0834026671428518,-0.826938425534061,-0.278531409371547,-0.832695125067313,-0.281044651687406,0.0308337576867149,-0.105993757346236
5489740000,0.00229691022242692,0.0091497318068308,-0.447422431008057,0.752858251735513,-0.447313068995412,0.759319227199229,0.034970471627038,-0.0388731369394496
5576720000,0.0662401211167157,-0.0519866089966813,0.639506547028742,0.592925862044281,0.646021198835164,0.593926790563761,0.0550132611634824,-0.0928033510339476
5663700000,-0.0203211836931287,-0.026678736353562,0.71696056344924,-0.50069321308549,0.719844253712887,-0.507969078025781,0.00962966474151434,-0.0571049837898331
5750680000,0.0711327527107865,-0.0143169448182296,-0.340260522855489,-0.803223593039916,-0.349763928933869,-0.806494498086922,0.0666646875682963,-0.0715429643007472
5837660000,-0.0120354025614414,-0.0814975525859108,-0.857283232912047,0.160436386238657,-0.862429333477042,0.169703029573325,-2.58732416406492E-4,-0.0967584843649218
