#  HZ   S   RI   R     50.00 
! Rohde & Schwarz Vector Network Analyzer 
! Rohde-Schwarz,ZNA43-2Port,1332450042101266,2.10
! Created: UTC 11/25/2021, 10:04:07 AM
! freq[Hz]                re:S11                  im:S11                  re:S21                  im:S21                  re:S12                  im:S12                  re:S22                  im:S22
 6.755500000000000E9    -2.528408703038357E-1   -2.688971306314820E-1   -3.933425606084156E-4   -1.542126716086507E-2   -1.285668963707133E-3   -1.492205511594933E-2   -7.476912359677798E-3   -1.370297897634604E-1
 6.830450000000000E9     1.910874922119593E-2    3.554588603339915E-1    1.405502025346371E-2    2.640543403563037E-4    1.429892539672187E-2   -1.793348177301937E-3   -3.554116229955678E-2    4.259601263965594E-2
 6.905400000000000E9     1.776427490195321E-1   -3.442501029577529E-1   -1.415807948751039E-3    1.191329879189981E-2   -4.455129897456523E-4    1.264897374717204E-2    6.059269193260116E-2   -2.440672317124666E-2
 6.980350000000000E9    -3.945565373582423E-1    1.375023873265586E-1   -1.059167639833362E-2   -2.720172497525174E-3   -1.040892632577816E-2   -2.064495051217308E-3   -5.808370230530285E-2   -4.004332457998620E-2
 7.055300000000000E9     3.931642959559147E-1    8.818876277551241E-2    3.703803414641215E-3   -9.864996301706801E-3    3.130559556024239E-3   -9.811017486031619E-3    1.363791964725148E-2    8.752163286273726E-3
 7.130250000000000E9    -3.036951719536095E-1   -3.445676480064395E-1    8.928054153804932E-3    4.267628451396946E-3    9.073715246903705E-3    2.930930841064279E-3    8.046137396154909E-3    1.205434417631224E-2
 7.205200000000000E9     7.626661935738516E-3    4.438139984148652E-1   -4.144162630247342E-3    7.752556448572049E-3   -3.666324196606728E-3    8.873890082040032E-3   -4.700704709474098E-3   -9.401615488036236E-2
 7.280150000000000E9     2.298886402521221E-1   -4.060308639936546E-1   -6.554631416715652E-3   -3.915089352660819E-3   -6.895097925696478E-3   -3.425703997772030E-3   -5.740250453136848E-2    1.186119570713604E-1
 7.355100000000000E9    -4.539851558265792E-1    1.717101706130147E-1    3.865318518246415E-3   -4.914401830688952E-3    3.634216823749933E-3   -5.033180097152409E-3    1.135457407719450E-1   -1.604905877095620E-1
 7.430050000000000E9     4.628586008063436E-1    1.074505784050028E-1    3.266158178955559E-3    4.239154632513272E-3    3.594841231882785E-3    3.729986182985573E-3   -1.868729677059820E-1    9.987637607324039E-2
 7.505000000000000E9    -3.400336725424069E-1   -3.788053190254208E-1   -4.338237365903055E-3    1.849786177036089E-3   -4.014032892165133E-3    2.343859298124818E-3    1.664060918811481E-1   -3.108622583659368E-2
 7.579950000000000E9     3.359537528200584E-2    4.918688871443230E-1   -6.861841704469482E-4   -4.356131438315505E-3   -1.158905325390702E-3   -4.391029753035264E-3   -1.366105265656670E-1   -7.532363419538647E-2
 7.654900000000000E9     2.493178388503265E-1   -4.301064057881510E-1    4.489366072264569E-3   -3.972127565471218E-5    4.467192890968411E-3   -2.668935629300215E-4    2.383548530130796E-2    1.375530271910858E-1
 7.729850000000000E9    -4.517252416615251E-1    1.811013834049667E-1   -8.008296923425460E-4    4.238485027128551E-3   -4.543413523644296E-4    4.469941343982158E-3    7.205172792406368E-2   -1.345813730466172E-1
 7.804800000000000E9     4.684577573130890E-1    1.184146396759865E-1   -3.983717277632057E-3   -1.505976348322797E-3   -3.944546118498217E-3   -1.102450499888933E-3   -1.859022720334337E-1    6.732088847073633E-2
 7.879750000000000E9    -3.005810569204922E-1   -3.801263983773426E-1    2.041910063455759E-3   -3.265761469012099E-3    1.605895226438633E-3   -3.473713688639842E-3    2.063414807293410E-1    3.648388444099143E-2
 7.954700000000000E9     1.078798602320471E-2    4.756988694158641E-1    2.913039581313747E-3    2.446065818419707E-3    3.084606009886940E-3    2.094588541415955E-3   -1.896719829939770E-1   -1.220522855993578E-1
 8.029650000000000E9     2.809277242045645E-1   -3.750323391149543E-1   -3.148809025126259E-3    2.645330135358408E-3   -3.004621976273026E-3    3.053388502710486E-3    8.463581629052568E-2    2.031643664060510E-1
 8.104600000000000E9    -4.220999400652301E-1    1.411331189524862E-1   -2.367782095416503E-3   -3.416458739692949E-3   -2.527072652045383E-3   -3.064221157713959E-3    2.042974930828788E-2   -1.983928616640356E-1
 8.179550000000000E9     4.283290461646029E-1    1.490531004844632E-1    3.450841740316196E-3   -1.585163068024999E-3    3.499828393673333E-3   -1.727997594730548E-3   -1.363466867981936E-1    1.776811960824218E-1
 8.254500000000000E9    -2.240288154563680E-1   -3.419577746857090E-1    1.317793829953496E-3    3.370631374027903E-3    1.712475503605317E-3    2.962185314906884E-3    2.156609309570950E-1   -4.589236678235219E-2
 8.329450000000000E9     1.713913126480740E-2    3.992349413936699E-1   -3.203575363945443E-3    1.082585867971155E-3   -3.267471173945362E-3    1.610178583163712E-3   -2.128624652132630E-1   -5.205735771916599E-2
 8.404400000000000E9     2.364119827345735E-1   -2.943140325903453E-1   -5.866389395775355E-4   -3.361229056468479E-3   -1.036232242101872E-3   -3.308194306206822E-3    1.669133841878136E-1    1.743838088204246E-1
 8.479350000000000E9    -2.969803535880837E-1    1.150229309178659E-1    3.108578988261867E-3    1.341503142373696E-4    3.236340074588546E-3   -7.500717268536847E-5   -4.209997611834584E-2   -1.969478072706846E-1
 8.554300000000000E9     3.109637577906656E-1    7.242867712051855E-2   -4.746511139986700E-4    2.521826094244221E-3   -2.438065398160661E-4    2.582576184342097E-3   -4.024328822596051E-2    1.935716076777848E-1
 8.629250000000000E9    -1.615621301547706E-1   -1.907948773671418E-1   -2.013742921415723E-3   -5.584894209930150E-4   -2.150782550940196E-3   -3.403757250627365E-4    1.383320973466622E-1   -9.880944704128947E-2
 8.704200000000000E9     6.925084044308401E-2    2.204279633208421E-1    8.505405981798803E-4   -1.981252417143048E-3    7.185545318972180E-4   -2.031232785788639E-3   -1.039803643203288E-1    1.490490629181235E-2
 8.779150000000000E9     7.810769494174306E-2   -1.802081745751475E-1    2.023237104759708E-3    1.287219965979203E-3    2.031383746047250E-3    1.044419464907580E-3    6.393416074530800E-2    5.784792469270012E-2
 8.854100000000000E9    -9.435124174578319E-2    9.831260930646300E-2   -1.603171453872217E-3    1.536844939540593E-3   -1.443446063198833E-3    1.758496698781470E-3    5.494521182341843E-2   -4.156226307939135E-2
 8.929050000000000E9     1.266314738489927E-1   -4.422989558778167E-2   -1.027414686826530E-3   -1.425406932260231E-3   -1.107669785778990E-3   -1.292514616384779E-3   -9.182456882318168E-2   -7.793541580432024E-3
 9.004000000000000E9    -7.529911606827323E-2   -8.664605900003768E-3    9.857520416016337E-4   -4.131846907280480E-4    9.743901267634145E-4   -5.414666985740517E-4    1.303575541552215E-1    1.231951538585129E-1
 9.078950000000000E9     7.325786899076434E-2    1.339526522331384E-2   -3.521514071462695E-4    1.030368295675854E-3   -2.769658242363706E-4    1.012455374864596E-3   -7.877708479717289E-3   -1.807335606183273E-1
 9.153900000000000E9    -5.278860247892313E-2   -3.626271815070687E-2   -1.337901720295232E-3   -1.291830912212809E-3   -1.507405061107139E-3   -1.040312742373805E-3   -6.641767946010010E-2    1.829888915575718E-1
 9.228850000000000E9     5.941757977486404E-2    4.480633363997216E-2    1.917081488627770E-3   -1.946269007499812E-3    1.720350825199312E-3   -2.160226439665563E-3    2.256628623222556E-1   -8.899518555383375E-2
 9.303800000000000E9    -3.800533988742980E-2   -9.915468026969043E-2    2.189639121417826E-3    2.161450568708957E-3    2.612178596586753E-3    1.775417480584039E-3   -2.202535993526918E-1   -6.496481897182479E-2
 9.378750000000000E9    -4.550717873322857E-3    1.012651199799339E-1   -1.994424516537285E-3    2.584168759164565E-3   -1.523651425756286E-3    2.764316115432246E-3    2.069338425514812E-1    2.025842960894838E-1
 9.453700000000000E9     5.915151354858504E-2   -1.221294553843169E-1   -2.285492828615087E-3   -1.853688041508995E-3   -2.543686625303607E-3   -1.432339934301239E-3   -2.848972959641396E-2   -2.970998002554800E-1
 9.528650000000000E9    -1.251508310577550E-1    5.802734382330420E-2    1.829469277912527E-3   -1.896900387643399E-3    1.551018524740510E-3   -2.082468326040720E-3   -8.117736312359683E-2    2.724677135326475E-1
 9.603600000000000E9     1.434148754744499E-1   -1.616765154093086E-2    1.451089160883484E-3    2.111050805789733E-3    1.943800259915414E-3    1.738042994051198E-3    2.484459113270922E-1   -1.786116932752144E-1
 9.678550000000000E9    -1.487546415075993E-1   -1.007542366809420E-1   -2.223934575189916E-3    1.397706084852455E-3   -2.038575385469038E-3    1.774928476261650E-3   -2.421975647999121E-1    2.608298683468653E-3
 9.753500000000000E9     6.060466607438334E-2    1.363222581098636E-1   -1.185265643481568E-3   -2.374162229219819E-3   -1.387560155203611E-3   -2.272110657127304E-3    2.193271678586898E-1    1.026407174032647E-1
